,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10
EST1,-0.08882653259773017,0.05121538182139407,-0.20608171143836287,0.14067607228649404,-0.0939096513126015,0.07335802837047822,-0.11458947004379691,0.10405245234328356,-0.11435617836915199,0.1863568078302118,1.0,-0.4677570428956658,0.5637666685242053,-0.23407787300330862,0.34252160951125654,0.5119845360163403,0.4126730938921758,0.42833228337024903,0.46442692904252963,0.4015563217607123,-0.033140234633941154,-0.023716221197337694,0.07813402275354484,0.10616381506356998,-0.02962795214659935,0.1602582402577948,0.03199333243349442,0.022721919488591914,0.10330873828986788,-0.09257512621494146,-0.04402002335518486,0.08679548988560702,0.008119586427703272,0.24030851706626075,-0.06070951928258953,0.12588807690751858,0.08172128072711925,0.13113694566598005,0.04069414003463692,-0.025293043699252775,-0.019476886758692965,0.16131128613064352,0.06924866080769057,0.06474263958846274,-0.09578633658283173,0.05529693108823665,-0.1421945986308379,0.018389898976168433,0.11859519326697314,-0.042659194357427085
EST2,0.12969187127885926,-0.0039274785544849075,0.26627339291221025,-0.048296003612649636,0.12124711848179427,0.0007613776709843879,0.1414202037722606,-0.021346335847459014,0.1368294044145959,-0.07165728901211084,-0.4677570428956657,1.0,-0.3800976709302535,0.2611285910982686,-0.21871188329760713,-0.3506749368068446,-0.28428078932056056,-0.32295032361195375,-0.317017253272594,-0.33186482412302015,0.04677122934316983,0.09592896644201158,-0.021703521329318652,0.005830089881106002,0.03304106470458303,-0.012140643966571055,-0.021982774546102993,0.07447162603870863,-0.008001824119058533,0.17268578796187262,0.03981744137367165,0.04509788534283487,0.029998255479065792,-0.114835208562267,0.027217229421128895,-0.01348861326635686,-0.04417395549811658,-0.012247087114907537,-0.02718540601466257,0.029555903458323235,0.022090718519209768,-0.06591393951669851,0.01487443856567716,-0.016328512284096604,0.11335336448116733,-0.035759183326201184,0.13820796170273747,-0.017964293643096558,-0.04229809286215887,0.07357703320288254
EST3,-0.10742181859776002,0.058299758119529616,-0.16650085334214415,0.1765965379455588,-0.06887478238813882,0.0626701504102594,-0.11311138920772149,0.13388071322482506,-0.09542591949045882,0.20972905900330174,0.5637666685242053,-0.3800976709302535,1.0,-0.23021235665687576,0.2746782843519195,0.41877860948074247,0.35362756658958955,0.3477920588043799,0.3720265728707166,0.38393138766356494,-0.0679736637345697,0.04394878169880933,0.07075944584242111,0.1786606232259872,-0.08529502356232888,0.20581100528117263,-0.018054107634198124,0.09809316149460419,0.17037557027981032,-0.04089266902657017,-0.016980225662722295,0.0727527611719573,0.1393699419571413,0.20952989489020818,-0.05125852167725114,0.10087801927855108,0.12962755087837527,0.0975727450224856,0.06291845901775497,0.035242702720416526,0.0037448658634953087,0.1048517816522478,0.14764252319891824,0.026500870770655063,-0.05143583751258569,0.005529431449580158,-0.06543909028731196,0.034355412006916775,0.21129009846902982,0.006732583914533788
EST4,0.1131202176521485,-0.05003476686353862,0.19780256301048837,-0.08841447159480094,0.1211402804003843,-0.02031708315130358,0.12501212476363202,-0.049802217536126216,0.10773090228694031,-0.0935146178713024,-0.2340778730033086,0.2611285910982686,-0.23021235665687576,1.0,-0.09092946924686034,-0.1962213731454488,-0.23097613747156756,-0.2449744232646728,-0.1692097530940101,-0.3988024112082243,0.04299116332028409,0.05451332789642733,-0.03382237981310073,-0.006128942668733518,0.03875557389718189,-0.015175461439177883,-0.0008084152437077538,0.0411534901421009,-0.01247839831476218,0.11740088312806578,0.10615294253680695,-0.03729973430335145,0.026151294921287233,-0.12079149116118981,0.12778054567323124,-0.04462200807165917,0.02611231393226581,-0.07369437357303545,0.08070017118199004,0.06391906863797761,-0.026398185188531886,0.031619074552723336,-0.04778861168990002,0.10013196882883772,0.07417966325540241,0.04662440707264628,0.06608667360461998,-0.044890427703872464,-0.08839709514390644,0.017922085939561364
EST5,-0.037479723888817165,0.03963565932748172,-0.1278352337680215,0.10004436989969391,-0.04880903728294551,0.1123468610942968,-0.06154600575969597,0.04644573327716262,-0.04355511512860698,0.1199997640393253,0.3425216095112566,-0.21871188329760716,0.2746782843519195,-0.09092946924686034,1.0,0.41352570853503684,0.32109842609490996,0.3391073492701482,0.3850147756383633,0.26506343925403514,0.05243777155991136,-0.03991243511001511,0.10148317759597139,0.0362902461740825,0.048267130111130166,0.11858663205302784,0.08869410398723696,-0.026525463857059298,0.05018754256164471,-0.06517938178934785,-0.08552989383789195,0.08413373921894535,-0.04090815172498068,0.21807669995712428,-0.04162779722787362,0.15146762360179297,0.02442676195484726,0.16721612554072984,-0.02928976955632592,-0.04676143015201302,-0.07460144414234185,0.1808594458467798,0.026397229003279798,0.11835043360300583,-0.03559373288661155,0.08515830666271813,-0.12072278820473097,-0.018355972752087817,0.050546047937546655,-0.04462256002610031
EST6,-0.06115017241540086,0.024720220451543103,-0.179820051820543,0.11669045503216673,-0.07101338905727463,0.08647462337000264,-0.08930591251381279,0.0554418790133138,-0.05102731856015144,0.15919460865904478,0.5119845360163403,-0.3506749368068446,0.4187786094807424,-0.1962213731454488,0.41352570853503684,0.9999999999999999,0.4961456806587639,0.522737356572024,0.5760708745440253,0.4097345523405613,0.016932404690525725,-0.036483114489791406,0.14958340586978036,0.06926405983797355,0.012982208523582225,0.17499253702491627,0.08062967142794109,-0.0061245446103370535,0.09619500796196402,-0.0962161422175693,-0.08667898957868975,0.10938402731106446,-0.027419086540582834,0.27958493166992787,-0.06160999860564079,0.1881880089284213,0.03144303948335396,0.17563639079633203,-0.0028936297554809087,-0.04462476440867875,-0.04973568728597175,0.1723914380941564,0.06628955320165276,0.10327630511900704,-0.07694808354911777,0.07260889456161906,-0.12553499255092335,0.01800464026626937,0.08724627996822316,-0.03696519681092118
EST7,-0.00990993862170873,0.020981886214604516,-0.16665328446262284,0.10487215150962798,-0.05305884508397499,0.0719501665073224,-0.041890320291365024,0.02605566544949932,0.005356052215581793,0.1403588956243034,0.4126730938921759,-0.28428078932056056,0.3536275665895896,-0.23097613747156756,0.3210984260949099,0.4961456806587639,0.9999999999999999,0.7480861765478505,0.4950169581012039,0.46455052099863015,0.0765366011326575,-0.02803622455840067,0.20560089732189765,0.022464542263880994,0.04335342185904326,0.08344061810682965,0.09611525739211235,-0.026577604294969616,0.06778988806080714,-0.09005736476864185,-0.13472538498447167,0.13933276643646514,-0.02693856031890545,0.3174476665394045,-0.11476125473425645,0.20195762628245448,-0.0035531608752981873,0.22919383259857362,-0.07797244952217537,-0.07273806790569377,-0.03143395296283344,0.12246243656702815,0.11456526949850696,0.054526886241198676,-0.03883352346888475,0.02558879799021113,-0.07074951256984378,0.06343520855961846,0.1080962760466928,0.017875453127922488
EST8,-0.02332227776531976,0.029078028399878747,-0.19081815230087892,0.11137226990555807,-0.0709313657469243,0.08209677873265422,-0.05584260404199999,0.02285790971628489,-0.013443317131006728,0.1314922768342022,0.42833228337024903,-0.32295032361195375,0.34779205880437986,-0.24497442326467284,0.3391073492701482,0.5227373565720241,0.7480861765478504,1.0,0.502584815176383,0.5227423055579479,0.08363594658084177,-0.04942836754778473,0.19158929500938027,0.012905216191007719,0.050349996229407445,0.08167509274846493,0.11642249211398349,-0.03860770044942181,0.0648140241335076,-0.1007701036866182,-0.13824935181858783,0.13470291075646573,-0.040487126338767124,0.3250111242009489,-0.09929193898526473,0.1983878730779273,-0.03348983928777838,0.25413740225150255,-0.07857107785263122,-0.07917373851075112,-0.03061465673245273,0.13057769842214867,0.09940595939014993,0.06442795647696366,-0.05804986444427511,0.04910703739518809,-0.09987936548595283,0.08162278903232453,0.09285737868407189,-0.0012611596841912579
EST9,-0.05647848100504669,0.03662593773070856,-0.20194231581436284,0.11758947833164982,-0.08941506947817708,0.0813899571142116,-0.10072168651068358,0.06978520835306311,-0.03350558333682152,0.18429178623526615,0.4644269290425297,-0.317017253272594,0.37202657287071655,-0.1692097530940101,0.3850147756383633,0.5760708745440253,0.49501695810120383,0.502584815176383,1.0,0.3771461677952695,0.10443074934886791,-0.1198860706897308,0.29969479565030277,-0.06691253937312666,0.12397824493092602,0.0067892816466766145,0.17459605564857245,-0.09009013505546788,-0.029270331431865023,-0.15373878842111677,-0.07933916474696497,0.09113240332612565,-0.004675721571702336,0.25824969307818313,-0.09928837971237363,0.16127831553015556,0.0700725343068616,0.18546738569887228,0.007064816183535339,-0.0338285602818873,-0.017655643966241186,0.15145869527410138,0.059602601691862274,0.11160004558665372,-0.03433168800557874,0.07089495167372419,-0.08177070876769488,0.0626146831409884,0.09164163365151484,-0.017059572219710002
EST10,-0.17372053359059897,0.19028254539153752,-0.326204759364674,0.26651836852921024,-0.208509841721805,0.1942945916005703,-0.195927216384324,0.1414894023792584,-0.13298027655506997,0.2534682218935431,0.4015563217607123,-0.33186482412302015,0.383931387663565,-0.3988024112082243,0.26506343925403514,0.4097345523405613,0.4645505209986302,0.5227423055579479,0.3771461677952695,1.0,0.05984889038185011,-0.10840605529065847,0.14099931144265998,0.008811492094421995,0.06497431951231229,0.05856959782368347,0.1661025821287663,-0.06440116880014934,0.03211620605320237,-0.16046741915013985,-0.1538761885598099,0.12422267246432449,-0.03165018949903222,0.3274620683086155,-0.15050285429563587,0.17456862954704228,-0.034278717308828636,0.23512153047051687,-0.11168683113626482,-0.07306927159347555,0.045803955237792404,0.062907352651385,0.09125118551670579,-0.00027550757097443096,-0.10250074893119195,0.06008123712220887,-0.07858365554015576,0.1160647456185647,0.183122489618113,-0.012007413860360812
